City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
549,Olga,RU,43.7444,135.2892,36.91,98,100,5.93,overcast clouds
550,Rio Cauto,CU,20.5603,-76.9161,88.86,54,70,5.3,broken clouds
551,Tessalit,ML,20.1986,1.0114,81.36,20,78,15.17,broken clouds
552,Pacific Grove,US,36.6177,-121.9166,62.38,70,1,5.01,clear sky
553,Meadville,US,41.6414,-80.1515,44.58,85,90,3.0,light rain
554,Semporna,MY,4.4818,118.6112,79.99,79,37,0.36,scattered clouds
555,Olden,NO,61.8364,6.8064,37.17,97,98,3.18,light rain
556,Pestisani,RO,45.0667,23.0333,45.82,80,0,1.86,clear sky
557,Pathein,MM,16.7833,94.7333,75.24,85,37,4.41,scattered clouds
558,Lauenburg,DE,53.372,10.5565,44.37,96,58,5.26,broken clouds
559,Belyy Yar,RU,53.6039,91.3903,13.89,71,89,0.0,smoke
560,Safranbolu,TR,41.2508,32.6942,46.08,72,40,2.01,scattered clouds
561,Healdsburg,US,38.6105,-122.8692,59.58,87,1,4.61,clear sky
562,Bocana De Paiwas,NI,12.7857,-85.1227,79.9,74,22,12.59,few clouds
563,Santa Marta,CO,11.2408,-74.199,94.33,70,98,10.69,overcast clouds
564,Tambo,PE,-14.8,-73.9167,51.42,38,70,6.64,broken clouds
565,Dayong,CN,25.0209,118.2898,65.44,90,6,0.58,clear sky
566,Peace River,CA,56.2501,-117.286,17.65,98,100,3.0,overcast clouds
567,Misratah,LY,32.3754,15.0925,68.47,56,65,6.11,broken clouds
568,Grafenau,DE,48.8577,13.3974,38.91,86,8,1.34,clear sky
569,Fuling,CN,29.7022,107.3919,49.66,96,100,2.95,overcast clouds
570,Cayenne,GF,4.9333,-52.3333,87.84,79,75,7.0,broken clouds
571,Parana,AR,-31.732,-60.5238,94.57,19,0,10.09,clear sky
572,Derzhavinsk,KZ,51.1,66.3167,26.19,95,99,22.19,snow
573,Cap-Aux-Meules,CA,47.3821,-61.8597,41.0,71,100,20.22,overcast clouds
574,Uncia,BO,-18.467,-66.5685,62.87,26,68,11.79,broken clouds
575,Samarkand,UZ,39.6542,66.9597,40.42,65,98,0.0,overcast clouds
576,Guerrero Negro,MX,27.9769,-114.0611,66.49,72,100,4.32,overcast clouds
577,Kurchum,KZ,48.5722,83.6542,18.14,61,21,7.43,few clouds
578,Vao,NC,-22.6667,167.4833,73.62,83,16,24.0,few clouds
579,Sambava,MG,-14.2667,50.1667,76.59,74,14,2.24,few clouds
580,Catamarca,AR,-28.4696,-65.7852,97.77,33,40,4.0,scattered clouds
581,Danielskuil,ZA,-28.1887,23.5395,71.76,49,48,22.26,scattered clouds
582,Rio Gallegos,AR,-51.6226,-69.2181,50.05,27,75,23.02,broken clouds
583,Kendari,ID,-3.945,122.4989,76.46,90,98,2.93,overcast clouds
584,Lagoa,PT,39.05,-27.9833,62.24,89,100,35.46,overcast clouds
585,Roald,NO,62.5833,6.1333,37.54,87,40,1.14,scattered clouds
586,Menongue,AO,-14.6585,17.691,74.14,53,79,4.99,light rain
587,Makkaveyevo,RU,51.7533,113.9454,-5.08,99,17,3.0,few clouds
